2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Generating invoice for order_id: 3
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Generating invoice for order_id: 4
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Generating invoice for order_id: 5
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Successfully generated invoice 'INV-2026-01002' (ID: 2) for order_id 3.
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Successfully generated invoice 'INV-2026-01003' (ID: 3) for order_id 5.
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Generating invoice for order_id: 6
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Successfully generated invoice 'INV-2026-01004' (ID: 4) for order_id 4.
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Generating invoice for order_id: 7
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Successfully generated invoice 'INV-2026-01005' (ID: 5) for order_id 7.
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Successfully generated invoice 'INV-2026-01006' (ID: 6) for order_id 2.
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Successfully generated invoice 'INV-2026-01007' (ID: 7) for order_id 6.
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Created customer 'Concurrent Customer 9' (ID: 11, Discount: 5.0%).
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Created customer 'Concurrent Customer 8' (ID: 12, Discount: 5.0%).
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Generating invoice for order_id: 8
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Generating invoice for order_id: 9
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Successfully generated invoice 'INV-2026-01008' (ID: 8) for order_id 8.
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Generating invoice for order_id: 10
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Successfully generated invoice 'INV-2026-01009' (ID: 9) for order_id 10.
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Successfully generated invoice 'INV-2026-01010' (ID: 10) for order_id 9.
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Created customer 'Concurrent Customer 2' (ID: 13, Discount: 5.0%).
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Generating invoice for order_id: 11
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Successfully generated invoice 'INV-2026-01011' (ID: 11) for order_id 11.
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Generating quotation for customer: Quotation Client
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Created customer 'Quotation Client' (ID: 14, Discount: 5.0%).
2026-08-03 15:10:30 | INFO     | [pioneer_billing.billing] | Successfully generated quotation 'QTN-2026-01001' (ID: 1) for customer 'Quotation Client'.
